#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
4.704168737E-01 9.143999815E-01 -1.466306765E-02
4.678855240E-01 9.143999815E-01 -1.417396776E-02
4.678854942E-01 9.143999815E-01 -1.417396404E-02
4.653537869E-01 9.143999815E-01 -1.368656754E-02
4.653537571E-01 9.143999815E-01 -1.368656382E-02
4.628217518E-01 9.143999815E-01 -1.320085209E-02
4.628217220E-01 9.143999815E-01 -1.320084836E-02
4.602894187E-01 9.143999815E-01 -1.271679252E-02
4.602893889E-01 9.143999815E-01 -1.271678880E-02
4.577567577E-01 9.143999815E-01 -1.223436929E-02
4.577567279E-01 9.143999815E-01 -1.223436557E-02
4.552237689E-01 9.143999815E-01 -1.175360195E-02
4.552237391E-01 9.143999815E-01 -1.175359823E-02
4.526904821E-01 9.143999815E-01 -1.127450913E-02
4.526904523E-01 9.143999815E-01 -1.127450541E-02
4.501568675E-01 9.143999815E-01 -1.079704240E-02
4.501568377E-01 9.143999815E-01 -1.079703867E-02
4.476229846E-01 9.143999815E-01 -1.032119431E-02
4.476229548E-01 9.143999815E-01 -1.032119058E-02
4.450887740E-01 9.143999815E-01 -9.846994653E-03
4.450887442E-01 9.143999815E-01 -9.846990928E-03
4.425542355E-01 9.143999815E-01 -9.374407120E-03
4.425542057E-01 9.143999815E-01 -9.374403395E-03
4.400193989E-01 9.143999815E-01 -8.903430775E-03
4.400193691E-01 9.143999815E-01 -8.903427050E-03
4.374842942E-01 9.143999815E-01 -8.434090763E-03
4.374842644E-01 9.143999815E-01 -8.434087038E-03
4.349488616E-01 9.143999815E-01 -7.966358215E-03
4.349488318E-01 9.143999815E-01 -7.966354489E-03
4.324131608E-01 9.143999815E-01 -7.500226609E-03
4.324131310E-01 9.143999815E-01 -7.500223350E-03
4.298771322E-01 9.143999815E-01 -7.035699207E-03
4.298771024E-01 9.143999815E-01 -7.035695948E-03
4.273408353E-01 9.143999815E-01 -6.572776940E-03
4.273408055E-01 9.143999815E-01 -6.572773680E-03
4.248042405E-01 9.143999815E-01 -6.111458410E-03
4.248042107E-01 9.143999815E-01 -6.111455150E-03
4.222673774E-01 9.143999815E-01 -5.651738960E-03
4.222673476E-01 9.143999815E-01 -5.651735701E-03
4.197302163E-01 9.143999815E-01 -5.193624645E-03
4.197301865E-01 9.143999815E-01 -5.193621386E-03
4.171927273E-01 9.143999815E-01 -4.737108946E-03
4.171926975E-01 9.143999815E-01 -4.737105686E-03
4.146550000E-01 9.143999815E-01 -4.282194190E-03
4.146549702E-01 9.143999815E-01 -4.282190930E-03
4.121169448E-01 9.143999815E-01 -3.828884102E-03
4.121169150E-01 9.143999815E-01 -3.828880843E-03
4.095786214E-01 9.143999815E-01 -3.377182875E-03
4.095785916E-01 9.143999815E-01 -3.377179615E-03
4.070400298E-01 9.143999815E-01 -2.927077236E-03
4.070400000E-01 9.143999815E-01 -2.927073976E-03
4.045011401E-01 9.143999815E-01 -2.478577895E-03
4.045011103E-01 9.143999815E-01 -2.478574635E-03
4.019619524E-01 9.143999815E-01 -2.031697193E-03
4.019619226E-01 9.143999815E-01 -2.031693934E-03
3.994224966E-01 9.143999815E-01 -1.586426632E-03
3.994224668E-01 9.143999815E-01 -1.586423372E-03
3.968827426E-01 9.143999815E-01 -1.142794266E-03
3.968827128E-01 9.143999815E-01 -1.142791007E-03
3.943427205E-01 9.143999815E-01 -7.007781533E-04
3.943426907E-01 9.143999815E-01 -7.007749518E-04
3.918024004E-01 9.143999815E-01 -2.603857429E-04
3.918023705E-01 9.143999815E-01 -2.603825415E-04
3.892618120E-01 9.143999815E-01 1.783630869E-04
3.892617822E-01 9.143999815E-01 1.783662883E-04
3.867209256E-01 9.143999815E-01 6.154829171E-04
3.867208958E-01 9.143999815E-01 6.154861185E-04
3.841797709E-01 9.143999815E-01 1.050936640E-03
3.841797411E-01 9.143999815E-01 1.050939783E-03
3.816383183E-01 9.143999815E-01 1.484748209E-03
3.816382885E-01 9.143999815E-01 1.484751352E-03
3.790965974E-01 9.143999815E-01 1.916909474E-03
3.790965676E-01 9.143999815E-01 1.916912617E-03
3.765545785E-01 9.143999815E-01 2.347352216E-03
3.765545487E-01 9.143999815E-01 2.347355243E-03
3.740122914E-01 9.143999815E-01 2.776137320E-03
3.740122616E-01 9.143999815E-01 2.776140347E-03
3.714697063E-01 9.143999815E-01 3.203255124E-03
3.714696765E-01 9.143999815E-01 3.203258151E-03
3.689268529E-01 9.143999815E-01 3.628618782E-03
3.689268231E-01 9.143999815E-01 3.628621809E-03
3.663837016E-01 9.143999815E-01 4.052291159E-03
3.663836718E-01 9.143999815E-01 4.052294418E-03
3.638402522E-01 9.143999815E-01 4.474265967E-03
3.638402224E-01 9.143999815E-01 4.474269226E-03
3.612965345E-01 9.143999815E-01 4.894452635E-03
3.612965047E-01 9.143999815E-01 4.894455895E-03
3.587525189E-01 9.143999815E-01 5.312907975E-03
3.587524891E-01 9.143999815E-01 5.312911235E-03
3.562082350E-01 9.143999815E-01 5.729651544E-03
3.562082052E-01 9.143999815E-01 5.729654804E-03
3.536636233E-01 9.143999815E-01 6.144602783E-03
3.536635935E-01 9.143999815E-01 6.144605577E-03
3.511187434E-01 9.143999815E-01 6.557737477E-03
3.511187136E-01 9.143999815E-01 6.557740271E-03
3.485735655E-01 9.143999815E-01 6.969057024E-03
3.485735357E-01 9.143999815E-01 6.969059817E-03
3.460280895E-01 9.143999815E-01 7.378555369E-03
3.460280597E-01 9.143999815E-01 7.378558163E-03
3.434823155E-01 9.143999815E-01 7.786214817E-03
3.434822857E-01 9.143999815E-01 7.786217611E-03
3.409362435E-01 9.143999815E-01 8.192017674E-03
3.409362137E-01 9.143999815E-01 8.192020468E-03
3.383899033E-01 9.143999815E-01 8.595945314E-03
3.383898735E-01 9.143999815E-01 8.595948108E-03
3.358432353E-01 9.143999815E-01 8.997981437E-03
3.358432055E-01 9.143999815E-01 8.997984231E-03
3.332962692E-01 9.143999815E-01 9.398107417E-03
3.332962394E-01 9.143999815E-01 9.398110211E-03
3.307490051E-01 9.143999815E-01 9.796301834E-03
3.307489753E-01 9.143999815E-01 9.796304628E-03
3.282014430E-01 9.143999815E-01 1.019254606E-02
3.282014132E-01 9.143999815E-01 1.019254886E-02
3.256535530E-01 9.143999815E-01 1.058681589E-02
3.256535232E-01 9.143999815E-01 1.058681868E-02
3.231053650E-01 9.143999815E-01 1.097908989E-02
3.231053352E-01 9.143999815E-01 1.097909268E-02
3.205568790E-01 9.143999815E-01 1.136934664E-02
3.205568492E-01 9.143999815E-01 1.136934943E-02
3.180080652E-01 9.143999815E-01 1.175756287E-02
3.180080354E-01 9.143999815E-01 1.175756566E-02
3.154589534E-01 9.143999815E-01 1.214371528E-02
3.154589236E-01 9.143999815E-01 1.214371808E-02
3.129095137E-01 9.143999815E-01 1.252777968E-02
3.129094839E-01 9.143999815E-01 1.252778247E-02
3.103597462E-01 9.143999815E-01 1.290972903E-02
3.103597164E-01 9.143999815E-01 1.290973183E-02
3.078096807E-01 9.143999815E-01 1.328953728E-02
3.078096509E-01 9.143999815E-01 1.328954007E-02
3.052593172E-01 9.143999815E-01 1.366717741E-02
3.052592874E-01 9.143999815E-01 1.366718020E-02
3.027085960E-01 9.143999815E-01 1.404262241E-02
3.027085662E-01 9.143999815E-01 1.404262520E-02
3.001575470E-01 9.143999815E-01 1.441584434E-02
3.001575172E-01 9.143999815E-01 1.441584714E-02
2.976061702E-01 9.143999815E-01 1.478681620E-02
2.976061404E-01 9.143999815E-01 1.478681900E-02
2.950544655E-01 9.143999815E-01 1.515550632E-02
2.950544357E-01 9.143999815E-01 1.515550911E-02
2.925024331E-01 9.143999815E-01 1.552188303E-02
2.925024033E-01 9.143999815E-01 1.552188583E-02
2.899500430E-01 9.143999815E-01 1.588591561E-02
2.899500132E-01 9.143999815E-01 1.588591747E-02
2.873973548E-01 9.143999815E-01 1.624756865E-02
2.873973250E-01 9.143999815E-01 1.624757051E-02
2.848443091E-01 9.143999815E-01 1.660681143E-02
2.848442793E-01 9.143999815E-01 1.660681330E-02
2.822909057E-01 9.143999815E-01 1.696361415E-02
2.822908759E-01 9.143999815E-01 1.696361601E-02
2.797371745E-01 9.143999815E-01 1.731793769E-02
2.797371447E-01 9.143999815E-01 1.731793955E-02
2.771830857E-01 9.143999815E-01 1.766973920E-02
2.771830559E-01 9.143999815E-01 1.766974106E-02
2.746286392E-01 9.143999815E-01 1.801899076E-02
2.746286094E-01 9.143999815E-01 1.801899262E-02
2.720738351E-01 9.143999815E-01 1.836564578E-02
2.720738053E-01 9.143999815E-01 1.836564764E-02
2.695187032E-01 9.143999815E-01 1.870967261E-02
2.695186734E-01 9.143999815E-01 1.870967448E-02
2.669632137E-01 9.143999815E-01 1.905103214E-02
2.669631839E-01 9.143999815E-01 1.905103400E-02
2.644073367E-01 9.143999815E-01 1.938968338E-02
2.644073069E-01 9.143999815E-01 1.938968524E-02
2.618511021E-01 9.143999815E-01 1.972558536E-02
2.618510723E-01 9.143999815E-01 1.972558722E-02
2.592945397E-01 9.143999815E-01 2.005869336E-02
2.592945099E-01 9.143999815E-01 2.005869523E-02
2.567375600E-01 9.143999815E-01 2.038896270E-02
2.567375302E-01 9.143999815E-01 2.038896456E-02
2.541802227E-01 9.143999815E-01 2.071635053E-02
2.541801929E-01 9.143999815E-01 2.071635239E-02
2.516225278E-01 9.143999815E-01 2.104081027E-02
2.516224980E-01 9.143999815E-01 2.104081213E-02
2.490644306E-01 9.143999815E-01 2.136229910E-02
2.490644157E-01 9.143999815E-01 2.136230096E-02
2.465059757E-01 9.143999815E-01 2.168076299E-02
2.465059608E-01 9.143999815E-01 2.168076485E-02
2.439471334E-01 9.143999815E-01 2.199614979E-02
2.439471185E-01 9.143999815E-01 2.199615166E-02
2.413879186E-01 9.143999815E-01 2.230841108E-02
2.413879037E-01 9.143999815E-01 2.230841294E-02
2.388283163E-01 9.143999815E-01 2.261749655E-02
2.388283014E-01 9.143999815E-01 2.261749841E-02
2.362683266E-01 9.143999815E-01 2.292335406E-02
2.362683117E-01 9.143999815E-01 2.292335592E-02
2.337079495E-01 9.143999815E-01 2.322593145E-02
2.337079346E-01 9.143999815E-01 2.322593331E-02
2.311471701E-01 9.143999815E-01 2.352517284E-02
2.311471552E-01 9.143999815E-01 2.352517471E-02
2.285860032E-01 9.143999815E-01 2.382102050E-02
2.285859883E-01 9.143999815E-01 2.382102236E-02
2.260244340E-01 9.143999815E-01 2.411341295E-02
2.260244191E-01 9.143999815E-01 2.411341481E-02
2.234624624E-01 9.143999815E-01 2.440229245E-02
2.234624475E-01 9.143999815E-01 2.440229431E-02
2.209001034E-01 9.143999815E-01 2.468759753E-02
2.209000885E-01 9.143999815E-01 2.468759939E-02
2.183373272E-01 9.143999815E-01 2.496926859E-02
2.183373123E-01 9.143999815E-01 2.496927045E-02
2.157741636E-01 9.143999815E-01 2.524724230E-02
2.157741487E-01 9.143999815E-01 2.524724416E-02
2.132105827E-01 9.143999815E-01 2.552144974E-02
2.132105678E-01 9.143999815E-01 2.552145161E-02
2.106465995E-01 9.143999815E-01 2.579182200E-02
2.106465846E-01 9.143999815E-01 2.579182386E-02
2.080822140E-01 9.143999815E-01 2.605829202E-02
2.080821991E-01 9.143999815E-01 2.605829388E-02
2.055173963E-01 9.143999815E-01 2.632078715E-02
2.055173814E-01 9.143999815E-01 2.632078901E-02
2.029521912E-01 9.143999815E-01 2.657923661E-02
2.029521763E-01 9.143999815E-01 2.657923847E-02
2.003865689E-01 9.143999815E-01 2.683356963E-02
2.003865540E-01 9.143999815E-01 2.683357149E-02
1.978205293E-01 9.143999815E-01 2.708369680E-02
1.978205144E-01 9.143999815E-01 2.708369866E-02
1.952540725E-01 9.143999815E-01 2.732954733E-02
1.952540576E-01 9.143999815E-01 2.732954919E-02
1.926872134E-01 9.143999815E-01 2.757104114E-02
1.926871985E-01 9.143999815E-01 2.757104300E-02
1.901199371E-01 9.143999815E-01 2.780809812E-02
1.901199222E-01 9.143999815E-01 2.780809999E-02
1.875522435E-01 9.143999815E-01 2.804063447E-02
1.875522286E-01 9.143999815E-01 2.804063633E-02
1.849841326E-01 9.143999815E-01 2.826856636E-02
1.849841177E-01 9.143999815E-01 2.826856822E-02
1.824156195E-01 9.143999815E-01 2.849180810E-02
1.824156046E-01 9.143999815E-01 2.849180996E-02
1.798466891E-01 9.143999815E-01 2.871022932E-02
1.798466742E-01 9.143999815E-01 2.871023118E-02
1.772773564E-01 9.143999815E-01 2.892377228E-02
1.772773415E-01 9.143999815E-01 2.892377414E-02
1.747076064E-01 9.143999815E-01 2.913233824E-02
1.747075915E-01 9.143999815E-01 2.913234010E-02
1.721374542E-01 9.143999815E-01 2.933580615E-02
1.721374393E-01 9.143999815E-01 2.933580801E-02
1.695668846E-01 9.143999815E-01 2.953410521E-02
1.695668697E-01 9.143999815E-01 2.953410707E-02
1.669959277E-01 9.143999815E-01 2.972710691E-02
1.669959128E-01 9.143999815E-01 2.972710878E-02
1.644245535E-01 9.143999815E-01 2.991469018E-02
1.644245386E-01 9.143999815E-01 2.991469204E-02
1.618527919E-01 9.143999815E-01 3.009678051E-02
1.618527770E-01 9.143999815E-01 3.009678237E-02
1.592806429E-01 9.143999815E-01 3.027322888E-02
1.592806280E-01 9.143999815E-01 3.027323075E-02
1.567081064E-01 9.143999815E-01 3.044390306E-02
1.567080915E-01 9.143999815E-01 3.044390492E-02
1.541351825E-01 9.143999815E-01 3.060873784E-02
1.541351676E-01 9.143999815E-01 3.060873970E-02
1.515618712E-01 9.143999815E-01 3.076758422E-02
1.515618563E-01 9.143999815E-01 3.076758608E-02
1.489882022E-01 9.143999815E-01 3.092025593E-02
1.489881873E-01 9.143999815E-01 3.092025779E-02
1.464141607E-01 9.143999815E-01 3.106663935E-02
1.464141458E-01 9.143999815E-01 3.106664121E-02
1.438397616E-01 9.143999815E-01 3.120664321E-02
1.438397467E-01 9.143999815E-01 3.120664507E-02
1.412650347E-01 9.143999815E-01 3.134011477E-02
1.412650198E-01 9.143999815E-01 3.134011477E-02
1.386899501E-01 9.143999815E-01 3.146685660E-02
1.386899352E-01 9.143999815E-01 3.146685660E-02
1.361145377E-01 9.143999815E-01 3.158669919E-02
1.361145228E-01 9.143999815E-01 3.158669919E-02
1.335388124E-01 9.143999815E-01 3.169950470E-02
1.335387975E-01 9.143999815E-01 3.169950470E-02
1.309627742E-01 9.143999815E-01 3.180512041E-02
1.309627593E-01 9.143999815E-01 3.180512041E-02
1.283864528E-01 9.143999815E-01 3.190337867E-02
1.283864379E-01 9.143999815E-01 3.190337867E-02
1.258098632E-01 9.143999815E-01 3.199408948E-02
1.258098483E-01 9.143999815E-01 3.199408948E-02
1.232330054E-01 9.143999815E-01 3.207705170E-02
1.232329831E-01 9.143999815E-01 3.207705170E-02
1.206559017E-01 9.143999815E-01 3.215206042E-02
1.206558794E-01 9.143999815E-01 3.215206042E-02
1.180785671E-01 9.143999815E-01 3.221890703E-02
1.180785447E-01 9.143999815E-01 3.221890703E-02
1.154999658E-01 9.143999815E-01 3.227739036E-02
1.154999435E-01 9.143999815E-01 3.227739036E-02
1.129497886E-01 9.143999815E-01 3.232687712E-02
1.129497737E-01 9.143999815E-01 3.232687712E-02
1.104891449E-01 9.143999815E-01 3.236653656E-02
1.104891300E-01 9.143999815E-01 3.236653656E-02
1.081455648E-01 9.143999815E-01 3.239659965E-02
1.081455499E-01 9.143999815E-01 3.239659965E-02
1.059135124E-01 9.143999815E-01 3.241807967E-02
1.059134975E-01 9.143999815E-01 3.241807967E-02
1.037876904E-01 9.143999815E-01 3.243190423E-02
1.037876755E-01 9.143999815E-01 3.243190423E-02
1.017630622E-01 9.143999815E-01 3.243888542E-02
1.017630473E-01 9.143999815E-01 3.243888542E-02
9.983483702E-02 9.143999815E-01 3.243981674E-02
9.983482212E-02 9.143999815E-01 3.243981674E-02
9.799843282E-02 9.143999815E-01 3.243537620E-02
9.799841791E-02 9.143999815E-01 3.243537620E-02
9.624949843E-02 9.143999815E-01 3.242618591E-02
9.624948353E-02 9.143999815E-01 3.242618591E-02
9.458387643E-02 9.143999815E-01 3.241287172E-02
9.458386153E-02 9.143999815E-01 3.241287172E-02
9.299761057E-02 9.143999815E-01 3.239599243E-02
9.299759567E-02 9.143999815E-01 3.239599243E-02
9.148691595E-02 9.143999815E-01 3.237602115E-02
9.148690850E-02 9.143999815E-01 3.237602115E-02
9.003084898E-02 9.143999815E-01 3.235300630E-02
9.003084153E-02 9.143999815E-01 3.235300630E-02
9.003083408E-02 9.143999815E-01 3.235300630E-02
8.859229088E-02 9.143999815E-01 3.232657537E-02
8.715356141E-02 9.143999815E-01 3.229645640E-02
8.715355396E-02 9.143999815E-01 3.229645640E-02
8.571491390E-02 9.143999815E-01 3.226258233E-02
8.571490645E-02 9.143999815E-01 3.226258233E-02
8.427635580E-02 9.143999815E-01 3.222490102E-02
8.427634835E-02 9.143999815E-01 3.222490102E-02
8.283790946E-02 9.143999815E-01 3.218337521E-02
8.283790201E-02 9.143999815E-01 3.218337521E-02
8.139958233E-02 9.143999815E-01 3.213786706E-02
8.139957488E-02 9.143999815E-01 3.213786706E-02
7.996139675E-02 9.143999815E-01 3.208826482E-02
7.996138930E-02 9.143999815E-01 3.208826482E-02
7.852335274E-02 9.143999815E-01 3.203449398E-02
7.852334529E-02 9.143999815E-01 3.203449398E-02
7.708547264E-02 9.143999815E-01 3.197647631E-02
7.708546519E-02 9.143999815E-01 3.197647631E-02
7.564777136E-02 9.143999815E-01 3.191413730E-02
7.564776391E-02 9.143999815E-01 3.191413730E-02
7.421027124E-02 9.143999815E-01 3.184738383E-02
7.421026379E-02 9.143999815E-01 3.184738383E-02
7.277298719E-02 9.143999815E-01 3.177611530E-02
7.277297974E-02 9.143999815E-01 3.177611530E-02
7.133594900E-02 9.143999815E-01 3.170021623E-02
7.133594155E-02 9.143999815E-01 3.170021623E-02
6.989916414E-02 9.143999815E-01 3.161957115E-02
6.989915669E-02 9.143999815E-01 3.161957115E-02
6.846265495E-02 9.143999815E-01 3.153405339E-02
6.846264750E-02 9.143999815E-01 3.153405339E-02
6.702645868E-02 9.143999815E-01 3.144353256E-02
6.702645123E-02 9.143999815E-01 3.144353256E-02
6.559059769E-02 9.143999815E-01 3.134788200E-02
6.559059024E-02 9.143999815E-01 3.134788200E-02
6.415509433E-02 9.143999815E-01 3.124698997E-02
6.415508687E-02 9.143999815E-01 3.124698997E-02
6.271997094E-02 9.143999815E-01 3.114074469E-02
6.271996349E-02 9.143999815E-01 3.114074469E-02
6.128527969E-02 9.143999815E-01 3.102898598E-02
6.128526852E-02 9.143999815E-01 3.102898598E-02
5.985103548E-02 9.143999815E-01 3.091153502E-02
5.985102430E-02 9.143999815E-01 3.091153502E-02
5.841728300E-02 9.143999815E-01 3.078822605E-02
5.841727182E-02 9.143999815E-01 3.078822605E-02
5.698406324E-02 9.143999815E-01 3.065888025E-02
5.698405206E-02 9.143999815E-01 3.065887839E-02
5.555141717E-02 9.143999815E-01 3.052332066E-02
5.555140600E-02 9.143999815E-01 3.052331880E-02
5.411939323E-02 9.143999815E-01 3.038136661E-02
5.411938205E-02 9.143999815E-01 3.038136475E-02
5.268803611E-02 9.143999815E-01 3.023282625E-02
5.268802494E-02 9.143999815E-01 3.023282439E-02
5.125739798E-02 9.143999815E-01 3.007750399E-02
5.125738680E-02 9.143999815E-01 3.007750213E-02
4.982754588E-02 9.143999815E-01 2.991515771E-02
4.982753471E-02 9.143999815E-01 2.991515584E-02
4.839853942E-02 9.143999815E-01 2.974550240E-02
4.839852825E-02 9.143999815E-01 2.974550053E-02
4.697045684E-02 9.143999815E-01 2.956825681E-02
4.697044566E-02 9.143999815E-01 2.956825495E-02
4.554336891E-02 9.143999815E-01 2.938316762E-02
4.554335773E-02 9.143999815E-01 2.938316576E-02
4.411735758E-02 9.143999815E-01 2.918997593E-02
4.411734641E-02 9.143999815E-01 2.918997407E-02
4.269250855E-02 9.143999815E-01 2.898838185E-02
4.269249737E-02 9.143999815E-01 2.898837999E-02
4.126892984E-02 9.143999815E-01 2.877803892E-02
4.126891866E-02 9.143999815E-01 2.877803706E-02
3.984673321E-02 9.143999815E-01 2.855854295E-02
3.984672204E-02 9.143999815E-01 2.855854109E-02
3.842605278E-02 9.143999815E-01 2.832945250E-02
3.842604160E-02 9.143999815E-01 2.832945064E-02
3.700702265E-02 9.143999815E-01 2.809033170E-02
3.700701147E-02 9.143999815E-01 2.809032984E-02
3.558979556E-02 9.143999815E-01 2.784078196E-02
3.558978438E-02 9.143999815E-01 2.784078009E-02
3.417453170E-02 9.143999815E-01 2.758034505E-02
3.417452052E-02 9.143999815E-01 2.758034319E-02
3.276142851E-02 9.143999815E-01 2.730843984E-02
3.276141733E-02 9.143999815E-01 2.730843797E-02
3.135071322E-02 9.143999815E-01 2.702439390E-02
3.135070205E-02 9.143999815E-01 2.702439204E-02
2.994265407E-02 9.143999815E-01 2.672751620E-02
2.994264290E-02 9.143999815E-01 2.672751434E-02
2.853751555E-02 9.143999815E-01 2.641709894E-02
2.853750624E-02 9.143999815E-01 2.641709708E-02
2.713274769E-02 9.143999815E-01 2.610420808E-02
2.713273838E-02 9.143999815E-01 2.610420622E-02
2.572605014E-02 9.143999815E-01 2.579729445E-02
2.572603896E-02 9.143999815E-01 2.579729259E-02
2.431908250E-02 9.143999815E-01 2.548747696E-02
2.431907132E-02 9.143999815E-01 2.548747510E-02
2.291293629E-02 9.143999815E-01 2.516897209E-02
2.291292697E-02 9.143999815E-01 2.516897023E-02
2.150711045E-02 9.143999815E-01 2.484237403E-02
2.150710113E-02 9.143999815E-01 2.484237216E-02
2.010120265E-02 9.143999815E-01 2.450749464E-02
2.010119334E-02 9.143999815E-01 2.450749278E-02
1.869464852E-02 9.143999815E-01 2.416381240E-02
1.869463734E-02 9.143999815E-01 2.416381054E-02
1.728582010E-02 9.143999815E-01 2.381315269E-02
1.728580892E-02 9.143999815E-01 2.381315082E-02
1.587241888E-02 9.143999815E-01 2.345805429E-02
1.587240770E-02 9.143999815E-01 2.345805243E-02
1.445216686E-02 9.143999815E-01 2.309952863E-02
1.445215661E-02 9.143999815E-01 2.309952676E-02
1.302040461E-02 9.143999815E-01 2.274103463E-02
1.302039437E-02 9.143999815E-01 2.274103276E-02
1.156917121E-02 9.143999815E-01 2.238891087E-02
1.156916097E-02 9.143999815E-01 2.238890901E-02
1.009089034E-02 9.143999815E-01 2.204401232E-02
1.009087916E-02 9.143999815E-01 2.204401046E-02
8.575311862E-03 9.143999815E-01 2.170692198E-02
8.575300686E-03 9.143999815E-01 2.170692012E-02
7.020586170E-03 9.143999815E-01 2.138596959E-02
7.020574994E-03 9.143999815E-01 2.138596773E-02
5.447253119E-03 9.143999815E-01 2.109343000E-02
5.447241478E-03 9.143999815E-01 2.109342813E-02
3.871820169E-03 9.143999815E-01 2.082997747E-02
3.871808760E-03 9.143999815E-01 2.082997561E-02
2.294605598E-03 9.143999815E-01 2.057420462E-02
2.294594189E-03 9.143999815E-01 2.057420276E-02
7.010346744E-04 9.143999815E-01 2.031100355E-02
7.010230911E-04 9.143999815E-01 2.031100169E-02
-9.359313408E-04 9.143999815E-01 2.002478391E-02
-9.359432734E-04 9.143999815E-01 2.002478205E-02
-3.749372205E-03 9.143999815E-01 2.058045194E-02
-3.749392927E-03 9.143999815E-01 2.058045566E-02
-1.012991741E-02 9.143999815E-01 2.335153334E-02
-1.012996398E-02 9.143999815E-01 2.335155383E-02
-1.514494605E-02 9.143999815E-01 2.440873906E-02
-1.514498238E-02 9.143999815E-01 2.440874651E-02
-1.611587033E-02 9.143999815E-01 2.224523015E-02
-1.611587778E-02 9.143999815E-01 2.224521525E-02
-1.659725048E-02 9.143999815E-01 1.985448599E-02
-1.659725420E-02 9.143999815E-01 1.985446922E-02
-1.656631380E-02 9.143999815E-01 1.736123860E-02
-1.656631380E-02 9.143999815E-01 1.736121997E-02
-1.599845849E-02 9.143999815E-01 1.487034559E-02
-1.599845476E-02 9.143999815E-01 1.487032790E-02
-1.492775232E-02 9.143999815E-01 1.248767041E-02
-1.492774487E-02 9.143999815E-01 1.248765271E-02
-1.375395898E-02 9.143999815E-01 1.031017490E-02
-1.375395060E-02 9.143999815E-01 1.031015906E-02
-1.283141505E-02 9.143999815E-01 8.355864324E-03
-1.283140853E-02 9.143999815E-01 8.355850354E-03
-1.182327978E-02 9.143999815E-01 6.589702796E-03
-1.182327233E-02 9.143999815E-01 6.589689758E-03
-1.055301167E-02 9.143999815E-01 5.015960429E-03
-1.055300236E-02 9.143999815E-01 5.015948787E-03
-9.064545855E-03 9.143999815E-01 3.674016800E-03
-9.064534679E-03 9.143999815E-01 3.674007021E-03
-7.229026873E-03 9.143999815E-01 2.653324045E-03
-7.229013368E-03 9.143999815E-01 2.653316595E-03
-5.103968084E-03 9.143999815E-01 1.997910673E-03
-5.103952717E-03 9.143999815E-01 1.997906016E-03
-3.321591066E-03 9.143999815E-01 1.395545201E-03
-3.321578028E-03 9.143999815E-01 1.395540778E-03
-2.466057893E-03 9.143999815E-01 3.747029114E-04
-2.466051606E-03 9.143999815E-01 3.746954899E-04
-2.069369191E-03 9.143999815E-01 -9.747351287E-04
-2.069366397E-03 9.143999815E-01 -9.747449658E-04
-1.482204651E-03 9.143999815E-01 -2.290756907E-03
-1.482200343E-03 9.143999815E-01 -2.290766453E-03
-6.806169404E-04 9.143999815E-01 -3.547053551E-03
-6.806111196E-04 9.143999815E-01 -3.547062632E-03
2.414229966E-04 9.143999815E-01 -4.814874381E-03
2.414297051E-04 9.143999815E-01 -4.814883694E-03
1.291477238E-03 9.143999815E-01 -6.081057712E-03
1.291484921E-03 9.143999815E-01 -6.081067026E-03
2.467800863E-03 9.143999815E-01 -7.316110656E-03
2.467809478E-03 9.143999815E-01 -7.316119503E-03
3.743591718E-03 9.143999815E-01 -8.474914357E-03
3.743601032E-03 9.143999815E-01 -8.474922739E-03
5.058386363E-03 9.143999815E-01 -9.564283304E-03
5.058396142E-03 9.143999815E-01 -9.564291686E-03
6.384405773E-03 9.143999815E-01 -1.060063578E-02
6.384415552E-03 9.143999815E-01 -1.060064323E-02
7.765667979E-03 9.143999815E-01 -1.150720194E-02
